id,date,message,karma,parent
b578ef8ccab06e,2016-07-06 23:59:00.000000,"Ich meinte eher bei der Penetration.  Das ist doch das blöde an Kondomen, dass man sie merkt. ",9,2595eff9082057
b617bedeaa8067,2016-07-06 23:59:00.000000,Ich kann auch nicht mehr schlafen.. 😌,3,5a3e77ea5cc755
b639e1af4fd779,2016-07-06 23:59:00.000000,Schreckliche Braut?,1,8b472a3e00c07a
b639e1af4fd779,2016-07-06 23:59:00.000000,"Geht aber nur in bei semispannenden folgen ... ab und an sagt sonst der kleine sherlock in einem: ""bleib wach, du wirst dieses wissen noch brauchen können"" 😜",3,c8e9e1af4fd779
b6672a3e00c07a,2016-07-06 23:59:00.000000,"Ui. Da würde ich auf 180 gehen. Wenn ich schlecht gelaunt bin oder traurig bin, dann will ich das man mich ernst nimmt und nicht versucht mit Witzen zu erheitern. ",3,10cffe1014e069
b6772a3e00c07a,2016-07-06 23:59:00.000000,Weihnachtsstimmung im Juli #achichliebejodel,5,b2142daf09842f
b687bedeaa8067,2016-07-06 23:59:00.000000,Bist du männlich? ,1,719b47e6f1e063
b6e2c9df3726a0,2016-07-06 23:59:00.000000,"Für mich hat Narzissmus weder was mit Selbstschutz, noch mit mangelndem Empathievermögen zutun, daher die Frage warum dich das fertig macht?",2,9bbb47e6f1e063
b708ef8ccab06e,2016-07-06 23:59:00.000000,Durch welche Worte kam es zum Mauerfall?,4,b07e77ea5cc755
b718ef8ccab06e,2016-07-06 23:59:00.000000,Sie ablenken!! Beste Option ist Verdrängung.,1,3bf8ef8ccab06e
b772c9df3726a0,2016-07-06 23:59:00.000000,Klingt gar nicht nach Mordfall 😄😄,8,b9c40df1e67430
b448ef8ccab06e,2016-07-06 23:59:00.000000,Sofa jodlerin hat so schöne Beine 😍,1,56ecd7573bf6bb
b482c9df3726a0,2016-07-06 23:59:00.000000,"Normal sagt man  Hey, I'm Judy. But you can Call me J., all my Friends do that."" Aber statt einen Spitznamen zu sagen, kommt: You can call me any time you want. Und du kannst mich jeder Zeit anrufen. ",1,183771c872406a
b4a12a8e31c066,2016-07-06 23:59:00.000000,Aber Nazis und Dinos gefällt das. ,2,96e56cddf1a068
b4e12a8e31c066,2016-07-06 23:59:00.000000,Mit was gelayert? Und mit welcher Technik?,1,aa372a3e00c07a
b4e2c9df3726a0,2016-07-06 23:59:00.000000,Okay ich kenn dich zwar nicht aber jetzt habe ich angst um dich 😰,3,594f3331011784
b4e12a8e31c066,2016-07-06 23:59:00.000000,"Was gehört in ne Reiseapotheke nach Kuba? Sonstige Tipps/Erfahrungswerte (Mücken, Krankheiten etc.?) ",1,
b512c9df3726a0,2016-07-06 23:59:00.000000,Op: im netzsteht iOs geht nicht. Moment ich guck ma,1,a7f7bcce2dd759
b547bedeaa8067,2016-07-06 23:59:00.000000,wenn er und ich musikalisch auf der selben wellenlänge sind (was sehr schwer ist) ,14,a57648691a45ab
b5f3ec0cca8061,2016-07-06 23:59:00.000000,Warum nicht? Ist schön leer!,1,1d548dc5b1b061
b603ec0cca8061,2016-07-06 23:59:00.000000,Ich phantasiere beim sex mit meiner freundin von ihrer schwester #normaloder #2 #abseits3,3,01fd0f0fe0907c
b652c9df3726a0,2016-07-06 23:59:00.000000," Manchmal verändert man sich halt, wenn ein neuer Lebensabschnitt beginnt. Und manchmal passen Partner und Freunde dann auf einmal nicht mehr. Muss man meiner Meinung nach einfach akzeptieren 🙆🏼",6,1435cd2040d250
b6b42daf09842f,2016-07-06 23:59:00.000000,Toll und du bist sehr nah... hoffentlich stand mein Fahrrad da nirgendwo ,2,72b8ef8ccab06e
b6f9e1af4fd779,2016-07-06 23:59:00.000000,Durchfall Tabletten Paracetamol ,2,b4e12a8e31c066
b7ab47e6f1e063,2016-07-06 23:59:00.000000,Ich in zweieinhalb 🙈,1,4427bcce2dd759
b7c86c3e36f41c,2016-07-06 23:59:00.000000,"Die Braut, die sich nicht traut",2,8b472a3e00c07a
b51fb948ba5067,2016-07-06 23:59:00.000000,Ja dickundhaesslich ist der kik Name ,1,6eeffe1014e069
b54cd7573bf6bb,2016-07-06 23:59:00.000000,"Du willst wohl unbedingt nen Spoiler provozieren, was?",3,96e56cddf1a068
b5afb948ba5067,2016-07-06 23:59:00.000000,Bei mir nimmts keinen namen an 😖,1,2e1fb948ba5067
b5b6d18a81906e,2016-07-06 23:59:00.000000,Offizierslaugbahn mit einem Master. ,1,b3ff3331011784
b5efb948ba5067,2016-07-06 23:59:00.000000,"hoffe es wird ein ganz besonderer, toller Tag (: #einediebisvor3MonatenmitihmdieHochzeitplanteunddannverlassenwurde",4,fa1a47d0151068
b666d18a81906e,2016-07-06 23:59:00.000000,"Ich glaube die Person meint wieso es bei seinem leichten überdurchschnittlichem Lörres, den Frauen unter der Vorraussetzung dass sie feucht sind wie sonst was, dennoch beim Sex schmerzen epmfinden (für die Frau).",5,973f3331011784
b69ffe1014e069,2016-07-06 23:59:00.000000,Aufgrund dieses Jodels habe ich jetzt eine extra Runde beim Zähneputzen eingelegt...,1,9f5e77ea5cc755
b73f3331011784,2016-07-06 23:59:00.000000,Xatar? Bist du Xatar?,6,688ffe1014e069
b74a47d0151068,2016-07-06 23:59:00.000000,"Bin auch Mama, und kann dir sagen, am Anfang zählt eh erst das ihr euch kennenlernt und rausfindet wie der andere tickt. Wenn alles passt dann ist das schon mal gut, dann müsst ihr euren Alltag gegenseitig kennenlernen und schauen wir ihr -",4,377e77ea5cc755
b79fb948ba5067,2016-07-06 23:59:00.000000,Die Story wird nicht spannender,9,a3192e300d36b2
b79fb948ba5067,2016-07-06 23:59:00.000000,iOS geht auch... Einfach mal bei Chip gucken. ,2,a7f7bcce2dd759
b7a23888e5e6a9,2016-07-06 23:59:00.000000,Dass wenige Sexpartner gleich Jugend vergeuden ist. Was ist denn das für eine Denkweise? 🙈 Mach dich deswegen doch nicht fertig. (2),8,7c540df1e67430
b5f7bedeaa8067,2016-07-06 23:59:00.000000,Ich liebe das "schöne" betrunken sein 🙌🏻,28,
b5e7bedeaa8067,2016-07-06 23:59:00.000000,irgendwie ist es schwierig als bisexuelle Frau auch mal andere Frauen die darauf stehen kennen zu lernen..,3,
b7f86c3e36f41c,2016-07-06 23:59:00.000000,"Reutlingen. Wenn sich nachts um 2 statt betrunkene, Katzen auf der Straße prügeln. #berlinerzubesuch",28,
b53a47d0151068,2016-07-06 23:59:00.000000,Die komischen Menschen in der Klausurenphase,7,973f3331011784
b4c42daf09842f,2016-07-06 23:59:00.000000,"Kindergarten. Wann versteht ihr endlich dass die wahrheit im endeffekt sowieso ans licht kommt. Sag nur die wahrheit, das was du gerade darüber denkst und du kannst es später nicht bereuen. P.s anhand deinem schreibstil erkennt man dass...",10,37e48dc5b1b061
b5ec670771f06b,2016-07-06 23:59:00.000000,"Die Zeit zwischen 1 und 5 ist so schön weil es so still ist und man machen kann was man möchte. Niemand stört sich dran, man macht alles nur für sich.  Ich könnte 4 Stunden nur auf meinem Balkon sitzen und über alles nach denken  ",65,
b667bedeaa8067,2016-07-06 23:59:00.000000,Glaubt ihr Deutschland schafft das morgen gegen Frankreich? 😐😨,13,
b50b47e6f1e063,2016-07-06 23:59:00.000000,Von hinten ,18,b3c3ec0cca8061
b5092e300d36b2,2016-07-06 23:59:00.000000,Gerne ich wäre allerdings erst in 25 min da ca bis 30 passt das?,3,719b47e6f1e063
b5c23888e5e6a9,2016-07-06 23:59:00.000000,Den Hodensack in kaltes Wasser hängen,2,ad810e1d77c067
b6123888e5e6a9,2016-07-06 23:59:00.000000,#4271,12,478354f0f215e2
b6423888e5e6a9,2016-07-06 23:59:00.000000,Ganz sicher Krebs oder Aids ,3,a777bcce2dd759
b6686c3e36f41c,2016-07-06 23:59:00.000000,Komm gut an 😩,3,7348ef8ccab06e
b6723888e5e6a9,2016-07-06 23:59:00.000000,Ulf: "Du Bert ?" Ernie: "Ja ?" /Ulf holt BertPuppe hervor und redet mit dieser,11,37f9e1af4fd779
b6948dc5b1b061,2016-07-06 23:59:00.000000,Ramo1610,1,b7992e300d36b2
b6b3ec0cca8061,2016-07-06 23:59:00.000000,Starke Hand findet Leichen Hand sieht aus wie die einer schönen Frau!,1,828f3331011784
b7812a8e31c066,2016-07-06 23:59:00.000000,Dicke Hüften?! Die hat sogar nen Thigh Gap. Da ist gar nichts dick😄🙈,1,c14d53a1e9716c
b58c670771f06b,2016-07-06 23:59:00.000000,Wenn man verzweifelt jede Sekunde aktualisiert aber nix neues gejodelt wird.. #machtmalschneller #unterhaltetmich,11,
b7d8ef8ccab06e,2016-07-06 23:59:00.000000,Pokémon GO ist kostenlos weil es Bwegungs- und Kameradaten an dritte verkauft #pokéballrot #vorwut,4,
b6f72a3e00c07a,2016-07-06 23:59:00.000000,"Wie gesagt, wenn du der Meinung bist, dann bist du selber Schuld. Ich meine mir geht es bei nem Sex Date on erster Linie um mich und meine Befriedigung ",3,6f5523ec61c064
b7d8ef8ccab06e,2016-07-06 23:59:00.000000,Geritten werden von schönen Busen,19,b3c3ec0cca8061
b0848dc5b1b061,2016-07-06 23:58:00.000000,männer werden doch auch gern mit nem blowjob geweckt... 😁,5,790cd7573bf6bb
b0a7bedeaa8067,2016-07-06 23:58:00.000000,Auch die Augen offen? 😊(Der fragende ist 25),1,59d72a3e00c07a
b0c48dc5b1b061,2016-07-06 23:58:00.000000,Da gibt es sicher mehr Frauen :) Koche auch mega gerne. #w25,4,644e85a4cea044
b0d56cddf1a068,2016-07-06 23:58:00.000000,mache ich der Kerl ist null bok auf mich fixiert 😢 obwohl er den BJ seines Lebens bekommen würde will er lieber Schlafen 😑😒 er dürfte jetzt mit mir ALLES machen!,2,edb5d580b1d062
b147bedeaa8067,2016-07-06 23:58:00.000000,"wäre sicher interessant, aber nüchtern und jetzt würde ich m bevorzugen ;)  vielleicht geben wir dem einsamen gabelmann-kerl ne chance?",1,719b47e6f1e063
b20b47e6f1e063,2016-07-06 23:58:00.000000,Juckt nicht. ,1,06effe1014e069
b259e1af4fd779,2016-07-06 23:58:00.000000,Ohne einschlafen geht gar nicht! ,3,c8e9e1af4fd779
b277bedeaa8067,2016-07-06 23:58:00.000000,Ne hab ich eig nicht öfter:/ ,3,94b48dc5b1b061
b35fb948ba5067,2016-07-06 23:58:00.000000,Nein ich Trau mich nicht mehr hoch zu fahren ,1,1d548dc5b1b061
b3723888e5e6a9,2016-07-06 23:58:00.000000,Braucht ihr noch Gegner? Hier warten durstige Kerle :0,1,70092e300d36b2
b3823888e5e6a9,2016-07-06 23:58:00.000000,Rammstein -Ich hab keine lust mich nackt zu sehen ,5,cb25eff9082057
b3b23888e5e6a9,2016-07-06 23:58:00.000000,Klex! ,3,14b3ec0cca8061
b322c9df3726a0,2016-07-06 23:58:00.000000,"Du vergeudest deine Jugend doch nicht! Du bist so. Akzeptiere und liebe dich wie du bist. Du wirst noch viel Sex im Leben haben, vielleicht dafür mit einer Person ganz viel. Heute ist alles so durchsexualisiert, dass Leute schon denken, (1)",10,7c540df1e67430
b0f9e1af4fd779,2016-07-06 23:58:00.000000,Welche Idioten hören in der Xylanderstraße am Kreisel so laut Musik??? Es gibt Leute die müssen schlafen! #wegenuni #wegenprüfung #wegen3,22,
b086d18a81906e,2016-07-06 23:58:00.000000,"Ja, wenn man sein Glück von materiellen Dingen abhängig macht, ist es schwierig, glücklich zu werden.  Aber man kann durchaus lernen, auch das Glück in den kleinsten Dingen zu finden. ",3,f72a47d0151068
b0ba47d0151068,2016-07-06 23:58:00.000000,Viel Glück mit dem Wetter! Entscheidet diese Festivalsaison bekanntlich über das Schicksal der Veranstaltung.,4,0b323888e5e6a9
b0da47d0151068,2016-07-06 23:58:00.000000,Noch nie ein bild gesehn .. schade eigentlich w21,6,eb9552fd0b85a8
b10a47d0151068,2016-07-06 23:58:00.000000,Uffff dieser Typ will wirklich Stress mit mir ,3,aa7cd7573bf6bb
b10ffe1014e069,2016-07-06 23:58:00.000000,Ey Leute ,1,853e6d11853437
b1356cddf1a068,2016-07-06 23:58:00.000000,Lust auf schmutzige Sachen?  Boa ne mein Wäsche Korb ist voll genug ,4,a8792e300d36b2
b1e3ec0cca8061,2016-07-06 23:58:00.000000, Dachte ich auch zuerst😂,3,fa1a47d0151068
b1f56cddf1a068,2016-07-06 23:58:00.000000,"Dankeschön, das ist ja lieb von dir! Das wünsche ich dir auch! Ich schau morgen noch mal, was da los war, wenn ich was rausfinde, lass ich es euch hier wissen! ❤️ Nachti ✨ /anhalterBhf ",1,34423888e5e6a9
b2012a8e31c066,2016-07-06 23:58:00.000000,"Und sonst wie die erste Antwort schon sagte, Zeit heilt alle Wunden 👌👌",2,e4b3ec0cca8061
b2023888e5e6a9,2016-07-06 23:58:00.000000,Und zum Affen macht ihr euch auch #nurmalsonebenbei,3,22d40df1e67430
b217bedeaa8067,2016-07-06 23:58:00.000000,Ich hab das alles geschrieben  Vanille,1,853e6d11853437
b1b7bcce2dd759,2016-07-06 23:58:00.000000,War ein schöner Film :),2,1d77f56c0fe2ba
b1c72a3e00c07a,2016-07-06 23:58:00.000000,Naja ich will Pokemon Go testen,4,a5a7bcce2dd759
b1d7bedeaa8067,2016-07-06 23:58:00.000000,(1)Also das wichtigste ist das du nichts mehr speicherst!!!! Wenn du etwas löscht wird es nicht radoert sondern der Platz nur freigegeben!! Alle Programme schließen!! Pc vom Internet Trennen!!,4,61872a3e00c07a
b2548dc5b1b061,2016-07-06 23:58:00.000000,Marc?,5,ad03ec0cca8061
b252c9df3726a0,2016-07-06 23:58:00.000000,Who cares? 😀  Ich bin nicht so ganz vertraut mit Mandalas und deren Bedeutung ,1,39d7bedeaa8067
b26cd7573bf6bb,2016-07-06 23:58:00.000000,Die klausurenphase macht die menschen komisch,9,973f3331011784
b43b47e6f1e063,2016-07-06 23:58:00.000000,"@op ...dann freut mich das! Ich glaub auch wirklich an Karma. Mir hat es vor ca. nem Jahr geholfen mich jemandem zu öffnen, war froh das jemand für mich da war und ich bin bin der Meinung es ist an der Zeit jemandem anderem dafür part2",2,083552fd0b85a8
b0c12a8e31c066,2016-07-06 23:58:00.000000,Ablenken hilft nur kurzfristig ,1,ce1faf6068d056
b197bcce2dd759,2016-07-06 23:58:00.000000,Good night sweet prince 😇🌜,2,99412a8e31c066
b1942daf09842f,2016-07-06 23:58:00.000000,Männerdutt,4,85cd0f0fe0907c
b2b523ec61c064,2016-07-06 23:58:00.000000,"Hauptsache ein paar Jodels weiter oben schreibt einer, dass sein Tinder Date total kacke war und das Mädel nur auf den ersten Blick so gut aussah. Hoffe ihr 2 gehört nich zusammen 😂",4,83c7bedeaa8067
b2db47e6f1e063,2016-07-06 23:58:00.000000,"Deswegen habe ich den upvote von dir Rabauken bekommen oder was ? 🙈☝🏼️ Bin zu fröhlich, angespannt und aufgeregt zum schlafen 😰",3,fa1a47d0151068
b2ed0f0fe0907c,2016-07-06 23:58:00.000000,Blablablaaaaa...,2,8a3052af627061
b2f48dc5b1b061,2016-07-06 23:58:00.000000,Hier türkin👍🏻 ICH HOFFE ESSSS ,3,98323888e5e6a9
b2f86c3e36f41c,2016-07-06 23:58:00.000000,Letzten Kommi feier ich ein bisschen 👏🏼🎉,2,6c797e1dd5d063
b3048dc5b1b061,2016-07-06 23:58:00.000000,Und Vla denn wir sing high..,7,6409e1af4fd779
b31f3331011784,2016-07-06 23:58:00.000000,#duwillstihnehreingehämmertbekommen,6,ac3f3331011784
b35cd7573bf6bb,2016-07-06 23:58:00.000000,Jetzt habt ihr sie vergrault.... 😬,8,3042c9df3726a0
b3872a3e00c07a,2016-07-06 23:58:00.000000,"Es gibt seit es hier immer wärmer wird so eine Spinnenart, die unter der Haut von Menschen ihre Eier legt. Juckt dann vor allem nachts.  Würde mir das besser mal ansehen lassen. ",4,a777bcce2dd759
b3b523ec61c064,2016-07-06 23:58:00.000000,Genug jodel für heute (Nacht),1,790cd7573bf6bb
b3ecd7573bf6bb,2016-07-06 23:58:00.000000,😂😂😂😂 Der spielt eindeutig League of Legends ,1,88e92e300d36b2
b3fcd7573bf6bb,2016-07-06 23:58:00.000000,Ohaaa Leute xD stop it,2,85cd0f0fe0907c
b413ec0cca8061,2016-07-06 23:58:00.000000,Laika  Francesko ,4,c8b5cd2040d250
b0de77ea5cc755,2016-07-06 23:58:00.000000,"Rein Faktisch ist das richtig. Was wir allerdings als Emotionen bezeichnen, ist ja viel mehr die Verknüpfung aus dem was wir durch diese chemische Reaktion im Körper erfahren und den Situationen in denen wir schin mal so ""gefühlt"" haben",1,5f2f3331011784
b14ffe1014e069,2016-07-06 23:58:00.000000,M25,3,a96f3331011784
b2142daf09842f,2016-07-06 23:58:00.000000,Klingt wie der fiese Fettsack von Austin Powers ,1,10cffe1014e069
b2423888e5e6a9,2016-07-06 23:58:00.000000,Hintertürchen ,2,ac3f3331011784
b2b56cddf1a068,2016-07-06 23:58:00.000000,"Ich glaube wenn du äußerlich schon nicht angetan bist, wird da auch nicht viel draus; außer du kennst sie/ihn schon länger und lernst sie zu lieben aber das braucht Zeit ;)",4,6a4ffe1014e069
b3542daf09842f,2016-07-06 23:58:00.000000,Glaube der Tod von meinem Opa vor 2 Jahren hat mich etwas aus der Bahn geworfen. Mache mir um den Rest meiner Familie nur noch Sorgen  wenn man wenigstens wüsste was nach dem Tod ist ,5,6e22c9df3726a0
b3f7bedeaa8067,2016-07-06 23:58:00.000000,Und wenn ich auch so glücklich bin?,8,5bd7bcce2dd759
b1d9e1af4fd779,2016-07-06 23:58:00.000000,Ja ist halt meine Abschlussarbeit und eigentlich sollte ich da jetzt dran sitzen damit sie rechtzeitig fertig wird aber ich pack das gerade nicht. kommt irgendwie alles zusammen .. 😔,4,71323888e5e6a9
b2b6d18a81906e,2016-07-06 23:58:00.000000,🐟...🐋...🐳,4,
b2ce77ea5cc755,2016-07-06 23:58:00.000000,Op: Dass ich das gleiche nicht von ihr sagen kann.. Sie ist halt Single und flirtet ab und an mit mir.,6,a2956cddf1a068
b3ff3331011784,2016-07-06 23:58:00.000000,Frage: Kann ich mich mit einem BWL Studium bei der Bundeswehr bewerben? Und was sind dann meine Job Aussichten? Finde dazu nichts im Netz. ,2,
b3c3ec0cca8061,2016-07-06 23:58:00.000000,An die Kerle? Was ist für euch die beste sexstellung? ,6,
b2142daf09842f,2016-07-06 23:58:00.000000,"Guck mal mein Sack, guck mal was ich hab. Für jeden ein Geschenk mit Liebe verpackt. #AggroAnsageNr.3 #Sido #Weihnachtsstimmung",8,
b0acd7573bf6bb,2016-07-06 23:58:00.000000,Ich m21 hab auch noch meine Kuscheltiere! Ich kenn das gar nicht anders...,7,cd99b2d6a60069
b15fb948ba5067,2016-07-06 23:58:00.000000,Bin grad fertig. L9 erreicht und einige nette eingefangen ,1,92ab47e6f1e063
b356d18a81906e,2016-07-06 23:58:00.000000,Lörres reinhämmern ,2,a2a86c3e36f41c
b395d580b1d062,2016-07-06 23:58:00.000000,Hey :) Wann ist die ersti Woche an der FH Dortmund? Ab dem 1.9 oder die Woche vorher? #jhj,4,
b3be77ea5cc755,2016-07-06 23:58:00.000000,"Soso, was auf dem Kasten? Was du alles ""siehst""...",1,d810dc6daa3064
b3b6d18a81906e,2016-07-06 23:58:00.000000,Bei mir war es ein bisasam ^&,2,59372a3e00c07a
b3cffe1014e069,2016-07-06 23:58:00.000000,"ich! - Mabihir, hat ne neue Nummer ",13,70d35e5830f7d0
b3d72a3e00c07a,2016-07-06 23:58:00.000000,Wo ist ssio? ,2,
b0b6d18a81906e,2016-07-06 23:58:00.000000,Die Musik ist zum kotzen  Sind Grade raus  #gehtaufjedenfallbesser,7,916a47d0151068
b13523ec61c064,2016-07-06 23:58:00.000000,"Meine Freundin würde das gar nicht toll finden :D die ist aber auch zu nichts zu gebrauchen, wenn sie müde ist :D",11,790cd7573bf6bb
b40523ec61c064,2016-07-06 23:58:00.000000,Ich finde es wirklich sehr schön dass hier so viele Leute helfen möchten & sich Mühe geben! Nur 1-2 dumme Kommentare. Das ist toll 👍👍👍 ,14,083552fd0b85a8
b0cf3331011784,2016-07-06 23:58:00.000000,"Dann bleib mit deiner Freundin zusammen und sei mit der anderen befreundet? Ist ja kein fremdgehen, wenn du mit ihr nichts anfängst!",21,a2956cddf1a068
b357bedeaa8067,2016-07-06 23:58:00.000000,Der Moment wenn jemand fremdes über deinen Gartenzaun steigt und sagt: Ich wollte das Ratzfratz fangen😂😂 #Pokemongo,82,
afc3ec0cca8061,2016-07-06 23:57:00.000000,"Komm. Wir gehen auf ein Bier in die Linde.  -ich, stock besoffen, grad in Busch gekübelt, morgen Klausur  #studentseinkannicj #lebenamlimit",72,
ae312a8e31c066,2016-07-06 23:57:00.000000,Fick die Uni ,3,aa95d580b1d062
ad212a8e31c066,2016-07-06 23:57:00.000000,Ja - unbedingt heimlich vergraben. Tut euch die Entsorgung auf der Deponie nicht an! :'(,10,e4b3ec0cca8061
ad623888e5e6a9,2016-07-06 23:57:00.000000,Fand ich persönlich eine sehr sehr schöne Geste gegenüber dem Tier ,3,e4b3ec0cca8061
ad823888e5e6a9,2016-07-06 23:57:00.000000,Nice. Wo haste den her?,8,9f156cddf1a068
ae7b47e6f1e063,2016-07-06 23:57:00.000000,Der Inbegriff ,3,aa95d580b1d062
ae756cddf1a068,2016-07-06 23:57:00.000000,Schon Schön?,5,9facd7573bf6bb
aec42daf09842f,2016-07-06 23:57:00.000000,Hast da ein amk vergessen ,3,ac9d0f0fe0907c
aed56cddf1a068,2016-07-06 23:57:00.000000,Es ist mir so gleichgültig was andere über uns denken!  Ich trage ne Rolex 24/7 und ihr wisst nicht mal wovon ich rede  #Gesindel,2,c4df4ec70d8065
af172a3e00c07a,2016-07-06 23:57:00.000000,Egal ob wir gewinnen oder verlieren  Glaubste nicht deine Oma hätte das dann besser selbst gebrauchen können,1,a4486c3e36f41c
af392e300d36b2,2016-07-06 23:57:00.000000,Affe ☝🏼️,3,a6cfb948ba5067
b0056cddf1a068,2016-07-06 23:57:00.000000,Nein :( aber naja :D,2,4ebf3331011784
b002c9df3726a0,2016-07-06 23:57:00.000000,Jetzt erzähl doch mal :) Wir wollten dich nicht verärgern,4,8cff3331011784
ae8523ec61c064,2016-07-06 23:57:00.000000,Ooo die werden ja dümmer ,4,7f256cddf1a068
ae23ec0cca8061,2016-07-06 23:57:00.000000,Pokémon > Prünfungsphase #prioritäten #endlichmalmotiviert #ichwillderallerbestesein,11,
ad2ffe1014e069,2016-07-06 23:57:00.000000,ich auch nicht. Komisch,8,973f3331011784
ad7fb948ba5067,2016-07-06 23:57:00.000000,"Und, kam sie noch? @aj2",1,4ebf3331011784
adde77ea5cc755,2016-07-06 23:57:00.000000,👆 Damit argumentiert sie das immer wenn sie mich blockt.  #op,10,a0e5d580b1d062
ae06d18a81906e,2016-07-06 23:57:00.000000,"Die deutsche Atombombe hätte durchaus vor Kriegsende fertig sein können. Es wurden Anfang der 40er aber bewusst falsche Angaben gemacht, wie lange es noch braucht. Und dann wurden die Ressourcen deswegen auf andere Projekte verteilt",4,416a47d0151068
ae2a47d0151068,2016-07-06 23:57:00.000000,Reiner reim♡ reife leistung,1,00212a8e31c066
ae55d580b1d062,2016-07-06 23:57:00.000000,Hier ich ^^,2,a96f3331011784
aefffe1014e069,2016-07-06 23:57:00.000000,Bitterböser Ernst ,3,19472a3e00c07a
af3e77ea5cc755,2016-07-06 23:57:00.000000,Dat hate though,10,aa7cd7573bf6bb
af55d580b1d062,2016-07-06 23:57:00.000000,👆Du bist der/die Held/in des Tages auch wenn der Tag grad angefangen hat.,6,71323888e5e6a9
